#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
210;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
211;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;37 ;"7";1;;COM1;;
212;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
213;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;39 ;"9";1;;COM1;;
214;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
215;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
216;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
217;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
218;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
219;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
220;22/06/2019 07:29:15;IRP_MJ_WRITE;DOWN;;69 64 34 0d ;"id4.";4;4;COM1;;
221;22/06/2019 07:29:15;IRP_MJ_WRITE;UP;STATUS_SUCCESS;69 64 34 0d ;"id4.";4;;COM1;;
222;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
223;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
224;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
225;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
226;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
227;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;34 ;"4";1;;COM1;;
228;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
229;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
230;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
231;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
232;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
233;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;44 ;"D";1;;COM1;;
234;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
235;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;35 ;"5";1;;COM1;;
236;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
237;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
238;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
239;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
240;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
241;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
242;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
243;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
244;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
245;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
246;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
247;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
248;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
249;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
